f1,f2,f3,f4,label
81,14,3,94,1
28,17,94,13,0
69,11,75,54,1
11,27,29,64,0
71,25,91,83,1
53,28,57,75,1
0,97,20,89,1
35,19,27,97,1
11,48,12,45,0
77,33,5,93,1
15,48,10,70,0
80,79,46,73,1
8,5,84,29,0
10,29,12,48,0
81,46,20,47,1
85,34,89,87,1
77,81,21,68,1
20,59,48,34,0
81,88,71,28,1
98,99,7,29,0
40,51,34,8,0
72,91,40,27,1
50,82,58,18,1
31,95,71,68,1
74,54,74,51,1
17,65,63,11,0
14,19,80,20,0
54,76,8,49,1
59,67,32,70,0
1,87,92,14,0
68,96,34,98,1
14,37,55,20,0
92,92,33,64,1
64,13,80,38,0
64,77,25,19,1
20,69,99,67,0
76,41,62,2,1
46,39,30,7,0
72,10,10,93,0
8,97,68,98,1
84,60,70,21,1
77,54,27,69,0
88,25,91,39,1
85,83,47,56,0
57,15,31,28,1
2,75,70,29,0
0,9,90,80,1
8,4,42,9,0
35,85,62,27,1
92,73,73,60,1
60,52,24,12,1
55,45,54,52,1
93,6,86,83,0
12,7,51,93,0
13,31,24,24,0
17,54,23,35,0
9,56,70,12,1
69,1,11,96,0
21,52,62,61,1
51,7,21,48,1
49,33,100,100,1
54,89,93,100,1
91,62,19,24,1
7,74,94,69,1
40,7,6,74,0
67,20,7,65,1
23,8,76,8,0
30,51,15,72,1
76,5,79,10,0
74,72,66,40,0
26,85,91,40,1
50,16,85,82,1
40,96,9,1,0
72,12,9,68,1
33,16,44,8,0
47,36,20,56,0
90,38,78,83,1
85,70,38,84,1
17,33,14,13,0
19,34,36,77,1
43,26,87,81,0
64,62,32,6,1
54,35,5,0,0
16,81,33,20,0
70,90,54,71,1
9,88,19,69,1
47,74,70,18,1
5,39,46,5,0
26,87,31,85,1
99,71,52,79,1
30,20,22,52,1
94,42,100,52,1
94,31,34,20,0
13,48,4,60,0
58,44,39,29,1
84,24,51,42,1
8,98,35,44,0
51,86,68,42,0
14,33,22,74,0
33,4,13,76,0
93,100,40,55,1
65,14,49,73,1
5,90,55,0,0
68,87,92,94,1
25,46,55,8,0
42,79,40,84,0
